Middleware:2026-05-15 19:53:55,304:INFO:Closing server
Middleware:2026-05-15 19:53:58,685:INFO:Starting server
Middleware:2026-05-15 19:54:46,307:INFO:POST /auth/login status=200  0.310s
Middleware:2026-05-15 19:55:54,525:INFO:Closing server
Middleware:2026-05-15 19:55:59,246:INFO:Starting server
Middleware:2026-05-17 11:53:19,245:INFO:Starting server
Middleware:2026-05-17 11:53:19,437:INFO:GET / status=200 duration= 0.001s
Middleware:2026-05-17 11:53:20,635:INFO:GET /favicon.ico status=404 duration= 0.000s
Middleware:2026-05-17 11:53:21,868:INFO:GET /docs status=200 duration= 0.000s
Middleware:2026-05-17 11:53:22,681:INFO:GET /openapi.json status=200 duration= 0.197s
Middleware:2026-05-17 12:44:23,259:INFO:Closing server
Middleware:2026-05-17 12:44:26,890:INFO:Starting server
Middleware:2026-05-17 12:44:31,338:INFO:Closing server
Middleware:2026-05-17 12:44:33,930:INFO:Starting server
Middleware:2026-05-17 12:44:35,648:INFO:Closing server
Middleware:2026-05-17 17:46:59,115:INFO:Starting server
Middleware:2026-05-17 18:06:20,198:INFO:Closing server
Middleware:2026-05-17 18:06:22,988:INFO:Starting server
Middleware:2026-05-17 18:06:23,104:INFO:Closing server
Middleware:2026-05-17 18:06:25,693:INFO:Starting server
Middleware:2026-05-17 18:34:53,021:INFO:Closing server
Middleware:2026-05-17 18:41:00,027:INFO:Starting server
Middleware:2026-05-17 18:41:03,010:INFO:Closing server
Middleware:2026-05-17 18:41:06,736:INFO:Starting server
Middleware:2026-05-17 18:41:20,201:INFO:Closing server
Middleware:2026-05-17 18:41:24,099:INFO:Starting server
Middleware:2026-05-17 18:41:24,207:INFO:Closing server
Middleware:2026-05-17 18:41:27,597:INFO:Starting server
Middleware:2026-05-17 20:05:59,294:INFO:Closing server
Middleware:2026-05-17 20:06:02,867:INFO:Starting server
Middleware:2026-05-17 20:06:02,978:INFO:Closing server
Middleware:2026-05-17 20:06:05,760:INFO:Starting server
Middleware:2026-05-17 20:06:10,624:INFO:Closing server
Middleware:2026-05-17 20:07:06,350:INFO:Starting server
Middleware:2026-05-17 20:07:08,055:INFO:Closing server
Middleware:2026-05-17 20:07:15,719:INFO:Starting server
Middleware:2026-05-17 20:07:17,469:INFO:Closing server
Middleware:2026-05-17 20:07:43,971:INFO:Starting server
Middleware:2026-05-17 20:07:44,073:INFO:Closing server
Middleware:2026-05-17 20:07:47,019:INFO:Starting server
Middleware:2026-05-17 20:07:54,092:INFO:Closing server
Middleware:2026-05-17 20:08:04,238:INFO:Starting server
Middleware:2026-05-17 20:08:04,783:INFO:Closing server
Middleware:2026-05-17 20:08:07,490:INFO:Starting server
Middleware:2026-05-17 20:08:07,594:INFO:Closing server
Middleware:2026-05-17 20:08:10,274:INFO:Starting server
Middleware:2026-05-17 20:08:10,386:INFO:Closing server
Middleware:2026-05-17 20:11:06,785:INFO:Starting server
Middleware:2026-05-17 20:11:17,806:INFO:Closing server
Middleware:2026-05-17 20:11:20,751:INFO:Starting server
Middleware:2026-05-17 20:11:22,568:INFO:Closing server
Middleware:2026-05-17 20:11:25,601:INFO:Starting server
Middleware:2026-05-17 20:11:28,162:INFO:Closing server
Middleware:2026-05-17 20:11:30,821:INFO:Starting server
Middleware:2026-05-17 20:11:38,707:INFO:Closing server
Middleware:2026-05-17 20:11:41,677:INFO:Starting server
Middleware:2026-05-17 20:11:41,889:INFO:Closing server
Middleware:2026-05-17 20:11:44,861:INFO:Starting server
Middleware:2026-05-17 20:11:48,955:INFO:Closing server
Middleware:2026-05-17 20:11:51,738:INFO:Starting server
Middleware:2026-05-17 20:11:51,839:INFO:Closing server
Middleware:2026-05-17 20:11:54,882:INFO:Starting server
Middleware:2026-05-17 20:11:58,314:INFO:Closing server
Middleware:2026-05-17 20:12:01,002:INFO:Starting server
Middleware:2026-05-17 20:12:26,826:INFO:Closing server
Middleware:2026-05-17 20:12:29,654:INFO:Starting server
Middleware:2026-05-17 20:12:32,910:INFO:Closing server
Middleware:2026-05-17 20:12:35,724:INFO:Starting server
Middleware:2026-05-17 20:12:35,831:INFO:Closing server
Middleware:2026-05-17 20:12:38,467:INFO:Starting server
Middleware:2026-05-17 20:27:55,622:INFO:Closing server
Middleware:2026-05-17 20:27:58,420:INFO:Starting server
Middleware:2026-05-17 20:27:58,526:INFO:Closing server
Middleware:2026-05-17 20:28:01,150:INFO:Starting server
Middleware:2026-05-17 20:28:08,173:INFO:Closing server
Middleware:2026-05-17 20:28:10,795:INFO:Starting server
Middleware:2026-05-17 20:28:25,879:INFO:Closing server
Middleware:2026-05-17 20:28:39,880:INFO:Starting server
Middleware:2026-05-17 20:28:41,184:INFO:Closing server
Middleware:2026-05-17 20:28:45,909:INFO:Starting server
Middleware:2026-05-17 20:28:46,022:INFO:Closing server
Middleware:2026-05-17 20:28:48,699:INFO:Starting server
Middleware:2026-05-17 20:28:48,807:INFO:Closing server
Middleware:2026-05-17 20:28:51,659:INFO:Starting server
Middleware:2026-05-17 20:28:52,204:INFO:Closing server
Middleware:2026-05-17 20:28:54,891:INFO:Starting server
Middleware:2026-05-17 20:28:58,810:INFO:Closing server
Middleware:2026-05-17 20:29:29,129:INFO:Starting server
Middleware:2026-05-17 20:29:29,680:INFO:Closing server
Middleware:2026-05-17 20:29:32,328:INFO:Starting server
Middleware:2026-05-17 20:29:35,138:INFO:Closing server
Middleware:2026-05-17 20:29:41,507:INFO:Starting server
Middleware:2026-05-17 20:29:55,701:INFO:Closing server
Middleware:2026-05-17 20:29:58,511:INFO:Starting server
Middleware:2026-05-17 20:30:02,680:INFO:Closing server
Middleware:2026-05-17 20:30:05,336:INFO:Starting server
Middleware:2026-05-17 20:30:05,443:INFO:Closing server
Middleware:2026-05-17 20:30:08,307:INFO:Starting server
Middleware:2026-05-17 20:30:10,141:INFO:Closing server
Middleware:2026-05-17 20:30:18,639:INFO:Starting server
Middleware:2026-05-17 20:30:20,466:INFO:Closing server
Middleware:2026-05-17 21:21:19,805:INFO:Starting server
Middleware:2026-05-17 21:21:30,893:INFO:Closing server
Middleware:2026-05-17 21:21:40,406:INFO:Starting server
Middleware:2026-05-17 21:21:40,522:INFO:Closing server
Middleware:2026-05-17 21:21:44,303:INFO:Starting server
Middleware:2026-05-17 21:26:50,991:INFO:Closing server
Middleware:2026-05-17 21:26:55,194:INFO:Starting server
Middleware:2026-05-17 21:26:55,305:INFO:Closing server
Middleware:2026-05-17 21:27:40,734:INFO:Starting server
Middleware:2026-05-17 21:27:40,846:INFO:Closing server
Middleware:2026-05-17 21:27:47,210:INFO:Starting server
Middleware:2026-05-17 21:27:49,331:INFO:Closing server
Middleware:2026-05-17 21:27:53,810:INFO:Starting server
Middleware:2026-05-17 21:28:00,988:INFO:Closing server
Middleware:2026-05-17 21:28:08,121:INFO:Starting server
Middleware:2026-05-17 21:28:09,326:INFO:Closing server
Middleware:2026-05-17 21:28:13,128:INFO:Starting server
Middleware:2026-05-17 21:28:16,640:INFO:Closing server
Middleware:2026-05-17 21:28:42,629:INFO:Starting server
Middleware:2026-05-17 21:28:42,734:INFO:Closing server
